onset	duration	subject	run	stimuli
75.493	15.467	179	2	InfOwnNeg
166.498	14.965	179	2	InfOwnNeg
241.974	15.148	179	2	InfOwnNeg
287.526	14.982	179	2	InfOwnNeg
378.264	14.982	179	2	InfOwnNeg
408.471	15.199	179	2	InfOwnNeg
30.141	15.065	179	2	InfOwnPos
60.314	15.166	179	2	InfOwnPos
211.717	15.114	179	2	InfOwnPos
257.236	15.049	179	2	InfOwnPos
332.761	15.116	179	2	InfOwnPos
363.085	15.048	179	2	InfOwnPos
0.034	15.03	179	2	InfOtherNeg
91.023	15.047	179	2	InfOtherNeg
121.23	15.046	179	2	InfOtherNeg
151.336	15.048	179	2	InfOtherNeg
272.348	15.047	179	2	InfOtherNeg
347.957	15.029	179	2	InfOtherNeg
15.079	15.047	179	2	InfOtherPos
106.135	15.047	179	2	InfOtherPos
181.51	15.046	179	2	InfOtherPos
317.583	15.047	179	2	InfOtherPos
393.309	15.048	179	2	InfOtherPos
438.744	15.047	179	2	InfOtherPos
45.206	15.108	179	2	fixation
136.276	15.06	179	2	fixation
196.556	15.161	179	2	fixation
226.831	15.143	179	2	fixation
302.508	15.075	179	2	fixation
423.67	15.074	179	2	fixation
453.791	8.209	179	2	fixation
