onset	duration	subject	run	stimuli
76.358	15.049	185	2	InfOwnNeg
166.978	15.033	185	2	InfOwnNeg
242.855	15.985	185	2	InfOwnNeg
289.477	15.033	185	2	InfOwnNeg
380.716	15.05	185	2	InfOwnNeg
411.007	15.969	185	2	InfOwnNeg
30.153	16.001	185	2	InfOwnPos
61.279	15.049	185	2	InfOwnPos
212.263	15.451	185	2	InfOwnPos
258.97	15.266	185	2	InfOwnPos
334.763	15.567	185	2	InfOwnPos
365.554	15.033	185	2	InfOwnPos
0.03	15.03	185	2	InfOtherNeg
91.469	15.049	185	2	InfOtherNeg
121.676	15.048	185	2	InfOtherNeg
151.816	15.032	185	2	InfOtherNeg
274.299	15.048	185	2	InfOtherNeg
350.393	15.048	185	2	InfOtherNeg
15.075	15.063	185	2	InfOtherPos
106.581	15.048	185	2	InfOtherPos
182.073	15.048	185	2	InfOtherPos
319.584	15.048	185	2	InfOtherPos
395.845	15.031	185	2	InfOtherPos
442.05	15.048	185	2	InfOtherPos
46.154	15.125	185	2	fixation
136.724	15.092	185	2	fixation
197.121	15.142	185	2	fixation
227.714	15.141	185	2	fixation
304.51	15.074	185	2	fixation
426.976	15.074	185	2	fixation
