onset	duration	subject	run	stimuli
0.033	15.048	185	1	InfOwnNeg
60.329	15.049	185	1	InfOwnNeg
212.935	15.033	185	1	InfOwnNeg
288.344	15.032	185	1	InfOwnNeg
378.981	15.935	185	1	InfOwnNeg
440.682	16.086	185	1	InfOwnNeg
75.391	16.17	185	1	InfOwnPos
106.802	15.367	185	1	InfOwnPos
152.404	15.033	185	1	InfOwnPos
197.773	15.033	185	1	InfOwnPos
348.707	15.033	185	1	InfOwnPos
395.046	15.366	185	1	InfOwnPos
45.168	15.047	185	1	InfOtherNeg
137.242	15.048	185	1	InfOtherNeg
182.595	15.046	185	1	InfOtherNeg
258.153	15.048	185	1	InfOtherNeg
303.422	15.048	185	1	InfOtherNeg
410.475	15.048	185	1	InfOtherNeg
15.094	15.047	185	1	InfOtherPos
91.623	15.048	185	1	InfOtherPos
167.499	15.048	185	1	InfOtherPos
243.058	15.032	185	1	InfOtherPos
318.534	15.031	185	1	InfOtherPos
363.819	15.031	185	1	InfOtherPos
30.141	15.027	185	1	fixation
122.169	15.073	185	1	fixation
227.968	15.09	185	1	fixation
273.201	15.143	185	1	fixation
333.565	15.142	185	1	fixation
425.523	15.159	185	1	fixation
456.768	5.232	185	1	fixation
