onset	duration	subject	run	stimuli
22.966	5.002	3120	2	EmoLookNeg
29.268	5.002	3120	2	EmoLookNeg
80.421	5.002	3120	2	EmoLookNeg
86.874	5.001	3120	2	EmoLookNeg
94.21	5.002	3120	2	EmoLookNeg
189.029	5.002	3120	2	EmoLookNeg
202.935	5.001	3120	2	EmoLookNeg
217.023	5.002	3120	2	EmoLookNeg
227.194	5.002	3120	2	EmoLookNeg
240.699	5.002	3120	2	EmoLookNeg
247.785	5.002	3120	2	EmoLookNeg
265.825	5.002	3120	2	EmoLookNeg
279.514	5.002	3120	2	EmoLookNeg
358.31	5.002	3120	2	EmoLookNeg
372.132	5.002	3120	2	EmoLookNeg
3.042	5.001	3120	2	EmoLookPos
9.978	5.001	3120	2	EmoLookPos
16.113	5.002	3120	2	EmoLookPos
73.635	5.002	3120	2	EmoLookPos
101.846	5.002	3120	2	EmoLookPos
195.182	5.001	3120	2	EmoLookPos
210.054	5.002	3120	2	EmoLookPos
233.346	5.002	3120	2	EmoLookPos
254.971	5.002	3120	2	EmoLookPos
272.094	5.002	3120	2	EmoLookPos
287.183	5.002	3120	2	EmoLookPos
294.086	5.002	3120	2	EmoLookPos
343.521	5.002	3120	2	EmoLookPos
350.724	5.002	3120	2	EmoLookPos
365.063	5.002	3120	2	EmoLookPos
38.338	5.002	3120	2	EmoLabelNeg
51.41	5.002	3120	2	EmoLabelNeg
112.233	5.002	3120	2	EmoLabelNeg
125.472	5.002	3120	2	EmoLabelNeg
132.808	5.002	3120	2	EmoLabelNeg
150.848	5.002	3120	2	EmoLabelNeg
157	5.002	3120	2	EmoLabelNeg
171.873	5.002	3120	2	EmoLabelNeg
178.842	5.002	3120	2	EmoLabelNeg
311.042	5.002	3120	2	EmoLabelNeg
325.481	5.002	3120	2	EmoLabelNeg
332.667	5.002	3120	2	EmoLabelNeg
410.43	5.002	3120	2	EmoLabelNeg
436.023	5.002	3120	2	EmoLabelNeg
449.845	5.002	3120	2	EmoLabelNeg
45.274	5.002	3120	2	EmoLabelPos
58.263	5.002	3120	2	EmoLabelPos
64.565	5.002	3120	2	EmoLabelPos
119.019	5.002	3120	2	EmoLabelPos
140.461	5.002	3120	2	EmoLabelPos
164.753	5.002	3120	2	EmoLabelPos
304.89	5.002	3120	2	EmoLabelPos
318.395	5.002	3120	2	EmoLabelPos
382.17	5.002	3120	2	EmoLabelPos
388.439	5.002	3120	2	EmoLabelPos
395.858	5.002	3120	2	EmoLabelPos
403.528	5.002	3120	2	EmoLabelPos
421.234	5.002	3120	2	EmoLabelPos
428.437	5.002	3120	2	EmoLabelPos
442.776	5.002	3120	2	EmoLabelPos
