onset	duration	subject	run	stimuli
79.013	15.027	3329	2	InfOwnNeg
169.598	15.01	3329	2	InfOwnNeg
248.979	16.261	3329	2	InfOwnNeg
299.532	14.994	3329	2	InfOwnNeg
393.819	15.01	3329	2	InfOwnNeg
424.064	15.027	3329	2	InfOwnNeg
30.16	18.678	3329	2	InfOwnPos
63.973	15.01	3329	2	InfOwnPos
214.849	18.978	3329	2	InfOwnPos
265.385	18.879	3329	2	InfOwnPos
344.783	18.662	3329	2	InfOwnPos
378.663	15.027	3329	2	InfOwnPos
0.032	15.041	3329	2	InfOtherNeg
94.119	15.042	3329	2	InfOtherNeg
124.314	15.042	3329	2	InfOtherNeg
154.425	15.043	3329	2	InfOtherNeg
284.343	15.041	3329	2	InfOtherNeg
363.507	15.042	3329	2	InfOtherNeg
15.088	15.058	3329	2	InfOtherPos
109.224	15.041	3329	2	InfOtherPos
184.654	15.042	3329	2	InfOtherPos
329.61	15.043	3329	2	InfOtherPos
408.908	15.042	3329	2	InfOtherPos
454.159	7.841	3329	2	InfOtherPos
48.838	15.135	3329	2	fixation
139.356	15.069	3329	2	fixation
199.696	15.153	3329	2	fixation
233.827	15.152	3329	2	fixation
314.526	15.084	3329	2	fixation
439.091	15.068	3329	2	fixation
