onset	duration	subject	run	stimuli
23.649	5.002	194	2	EmoLookNeg
31.135	5.002	194	2	EmoLookNeg
85.723	5.002	194	2	EmoLookNeg
93.226	5.002	194	2	EmoLookNeg
100.279	5.002	194	2	EmoLookNeg
193.699	5.002	194	2	EmoLookNeg
207.588	5.002	194	2	EmoLookNeg
220.927	5.002	194	2	EmoLookNeg
230.964	5.002	194	2	EmoLookNeg
244.836	5.002	194	2	EmoLookNeg
252.022	5.002	194	2	EmoLookNeg
268.695	5.002	194	2	EmoLookNeg
282.051	5.002	194	2	EmoLookNeg
357.08	5.002	194	2	EmoLookNeg
370.285	5.002	194	2	EmoLookNeg
3.041	5.002	194	2	EmoLookPos
9.477	5.002	194	2	EmoLookPos
17.013	5.002	194	2	EmoLookPos
78.404	5.002	194	2	EmoLookPos
106.615	5.002	194	2	EmoLookPos
199.802	5.002	194	2	EmoLookPos
214.274	5.002	194	2	EmoLookPos
238.6	5.002	194	2	EmoLookPos
258.091	5.002	194	2	EmoLookPos
275.115	5.002	194	2	EmoLookPos
288.203	5.002	194	2	EmoLookPos
294.522	5.002	194	2	EmoLookPos
342.191	5.002	194	2	EmoLookPos
349.427	5.002	194	2	EmoLookPos
363.883	5.002	194	2	EmoLookPos
40.722	5.002	194	2	EmoLabelNeg
54.695	5.002	194	2	EmoLabelNeg
117.419	5.002	194	2	EmoLabelNeg
132.242	5.002	194	2	EmoLabelNeg
139.294	5.003	194	2	EmoLabelNeg
156.435	5.002	194	2	EmoLabelNeg
162.537	5.002	194	2	EmoLabelNeg
177.009	5.002	194	2	EmoLabelNeg
183.662	5.002	194	2	EmoLabelNeg
312.096	5.002	194	2	EmoLabelNeg
325.518	5.002	194	2	EmoLabelNeg
331.587	5.002	194	2	EmoLabelNeg
405.349	5.002	194	2	EmoLabelNeg
430.176	5.002	194	2	EmoLabelNeg
443.381	5.002	194	2	EmoLabelNeg
47.158	5.002	194	2	EmoLabelPos
61.33	5.002	194	2	EmoLabelPos
68.817	5.002	194	2	EmoLabelPos
124.739	5.002	194	2	EmoLabelPos
145.63	5.002	194	2	EmoLabelPos
170.323	5.002	194	2	EmoLabelPos
304.46	5.001	194	2	EmoLabelPos
318.332	5.002	194	2	EmoLabelPos
379.522	5.002	194	2	EmoLabelPos
385.942	5.002	194	2	EmoLabelPos
392.878	5.002	194	2	EmoLabelPos
399.03	5.002	194	2	EmoLabelPos
415.286	5.002	194	2	EmoLabelPos
422.523	5.002	194	2	EmoLabelPos
436.978	5.002	194	2	EmoLabelPos
