onset	duration	subject	run	stimuli
75.561	14.994	194	2	InfOwnNeg
166.096	14.995	194	2	InfOwnNeg
242.727	16.244	194	2	InfOwnNeg
289.578	14.978	194	2	InfOwnNeg
380.648	14.994	194	2	InfOwnNeg
410.859	15.345	194	2	InfOwnNeg
30.16	15.226	194	2	InfOwnPos
60.505	15.043	194	2	InfOwnPos
211.364	16.212	194	2	InfOwnPos
259.1	15.227	194	2	InfOwnPos
334.813	15.428	194	2	InfOwnPos
365.458	15.061	194	2	InfOwnPos
0.031	15.041	194	2	InfOtherNeg
90.617	15.043	194	2	InfOtherNeg
120.812	15.043	194	2	InfOtherNeg
150.924	15.043	194	2	InfOtherNeg
274.389	15.043	194	2	InfOtherNeg
350.302	15.043	194	2	InfOtherNeg
15.087	15.058	194	2	InfOtherPos
105.723	15.043	194	2	InfOtherPos
181.169	15.043	194	2	InfOtherPos
319.64	15.043	194	2	InfOtherPos
395.703	15.043	194	2	InfOtherPos
441.288	15.043	194	2	InfOtherPos
45.386	15.119	194	2	fixation
135.855	15.069	194	2	fixation
196.212	15.152	194	2	fixation
227.576	15.151	194	2	fixation
304.556	15.084	194	2	fixation
426.204	15.084	194	2	fixation
456.331	5.669	194	2	fixation
