onset	duration	subject	run	stimuli
0.015	15.062	184	1	InfOwnNeg
60.326	15.048	184	1	InfOwnNeg
211.511	15.049	184	1	InfOwnNeg
286.919	15.434	184	1	InfOwnNeg
378.008	15.032	184	1	InfOwnNeg
438.455	15.049	184	1	InfOwnNeg
75.405	15.048	184	1	InfOwnPos
105.728	15.049	184	1	InfOwnPos
150.997	15.049	184	1	InfOwnPos
196.332	15.049	184	1	InfOwnPos
347.718	15.048	184	1	InfOwnPos
393.17	15.032	184	1	InfOwnPos
45.164	15.047	184	1	InfOtherNeg
135.852	15.047	184	1	InfOtherNeg
181.187	15.047	184	1	InfOtherNeg
256.746	15.03	184	1	InfOtherNeg
302.416	15.047	184	1	InfOtherNeg
408.282	15.03	184	1	InfOtherNeg
15.091	15.047	184	1	InfOtherPos
90.516	15.048	184	1	InfOtherPos
166.092	15.047	184	1	InfOtherPos
241.651	15.03	184	1	InfOtherPos
317.527	15.048	184	1	InfOtherPos
362.829	15.048	184	1	InfOtherPos
30.138	15.026	184	1	fixation
120.777	15.075	184	1	fixation
226.56	15.091	184	1	fixation
271.776	15.143	184	1	fixation
332.575	15.143	184	1	fixation
423.312	15.143	184	1	fixation
453.504	8.496	184	1	fixation
