onset	duration	subject	run	stimuli
78.006	14.981	148	2	InfOwnNeg
168.593	16.754	148	2	InfOwnNeg
245.79	14.981	148	2	InfOwnNeg
291.175	16.721	148	2	InfOwnNeg
385.005	16.77	148	2	InfOwnNeg
417	14.966	148	2	InfOwnNeg
30.147	16.384	148	2	InfOwnPos
61.657	16.335	148	2	InfOwnPos
215.6	15.048	148	2	InfOwnPos
260.901	15.032	148	2	InfOwnPos
338.149	15.048	148	2	InfOwnPos
368.422	16.454	148	2	InfOwnPos
0.023	15.03	148	2	InfOtherNeg
93.051	15.047	148	2	InfOtherNeg
123.308	15.047	148	2	InfOtherNeg
153.414	15.048	148	2	InfOtherNeg
275.997	15.046	148	2	InfOtherNeg
353.26	15.048	148	2	InfOtherNeg
15.068	15.063	148	2	InfOtherPos
108.179	15.048	148	2	InfOtherPos
185.41	15.046	148	2	InfOtherPos
322.97	15.047	148	2	InfOtherPos
401.838	15.047	148	2	InfOtherPos
447.057	14.943	148	2	InfOtherPos
46.531	15.126	148	2	fixation
138.355	15.059	148	2	fixation
200.456	15.144	148	2	fixation
230.648	15.142	148	2	fixation
307.896	15.074	148	2	fixation
431.966	15.091	148	2	fixation
