onset	duration	subject	run	stimuli
43.643	5.015	148	1	EmoLookNeg
58.571	5.015	148	1	EmoLookNeg
162.297	5.015	148	1	EmoLookNeg
200.193	5.015	148	1	EmoLookNeg
207.047	5.015	148	1	EmoLookNeg
222.677	5.015	148	1	EmoLookNeg
278.66	5.015	148	1	EmoLookNeg
284.929	5.015	148	1	EmoLookNeg
299.172	5.015	148	1	EmoLookNeg
306.126	5.015	148	1	EmoLookNeg
361.975	5.015	148	1	EmoLookNeg
369.08	5.015	148	1	EmoLookNeg
383.958	5.015	148	1	EmoLookNeg
406.458	5.015	148	1	EmoLookNeg
419.764	5.015	148	1	EmoLookNeg
50.965	5.015	148	1	EmoLookPos
66.377	5.015	148	1	EmoLookPos
73.315	5.015	148	1	EmoLookPos
169.217	5.015	148	1	EmoLookPos
176.756	5.015	148	1	EmoLookPos
182.875	5.015	148	1	EmoLookPos
190.263	5.015	148	1	EmoLookPos
214.82	5.015	148	1	EmoLookPos
229.664	5.015	148	1	EmoLookPos
291.499	5.015	148	1	EmoLookPos
354.838	5.015	148	1	EmoLookPos
376.736	5.015	148	1	EmoLookPos
393.302	5.015	148	1	EmoLookPos
399.972	5.015	148	1	EmoLookPos
412.643	5.015	148	1	EmoLookPos
3.122	5.015	148	1	EmoLabelNeg
18.117	5.015	148	1	EmoLabelNeg
98.623	5.015	148	1	EmoLabelNeg
112.08	5.015	148	1	EmoLabelNeg
128.83	5.015	148	1	EmoLabelNeg
136.603	5.015	148	1	EmoLabelNeg
151.448	5.015	148	1	EmoLabelNeg
240.597	5.015	148	1	EmoLabelNeg
253.569	5.015	148	1	EmoLabelNeg
268.229	5.015	148	1	EmoLabelNeg
323.527	5.015	148	1	EmoLabelNeg
330.632	5.015	148	1	EmoLabelNeg
338.388	5.015	148	1	EmoLabelNeg
430.547	5.015	148	1	EmoLabelNeg
437.217	5.015	148	1	EmoLabelNeg
10.427	5.015	148	1	EmoLabelPos
25.89	5.015	148	1	EmoLabelPos
32.911	5.015	148	1	EmoLabelPos
84.063	5.015	148	1	EmoLabelPos
91.051	5.015	148	1	EmoLabelPos
104.758	5.015	148	1	EmoLabelPos
122.077	5.015	148	1	EmoLabelPos
144.443	5.015	148	1	EmoLabelPos
246.899	5.015	148	1	EmoLabelPos
261.275	5.015	148	1	EmoLabelPos
316.456	5.015	148	1	EmoLabelPos
345.61	5.015	148	1	EmoLabelPos
443.703	5.015	148	1	EmoLabelPos
449.871	5.015	148	1	EmoLabelPos
456.992	5.015	148	1	EmoLabelPos
