onset	duration	subject	run	stimuli
77.003	15.059	182	2	InfOwnNeg
167.638	15.544	182	2	InfOwnNeg
243.601	15.043	182	2	InfOwnNeg
289.036	15.51	182	2	InfOwnNeg
381.305	15.444	182	2	InfOwnNeg
411.967	15.026	182	2	InfOwnNeg
30.151	15.843	182	2	InfOwnPos
61.114	15.875	182	2	InfOwnPos
213.44	15.026	182	2	InfOwnPos
258.774	15.026	182	2	InfOwnPos
334.804	15.009	182	2	InfOwnPos
365.032	16.143	182	2	InfOwnPos
0.023	15.041	182	2	InfOtherNeg
92.126	15.041	182	2	InfOtherNeg
122.321	15.041	182	2	InfOtherNeg
152.432	15.043	182	2	InfOtherNeg
273.863	15.042	182	2	InfOtherNeg
349.876	15.041	182	2	InfOtherNeg
15.079	15.057	182	2	InfOtherPos
107.232	15.041	182	2	InfOtherPos
183.245	15.04	182	2	InfOtherPos
319.631	15.041	182	2	InfOtherPos
396.811	15.041	182	2	InfOtherPos
442.062	15.041	182	2	InfOtherPos
45.994	15.12	182	2	fixation
137.362	15.07	182	2	fixation
198.285	15.155	182	2	fixation
228.466	15.135	182	2	fixation
304.546	15.085	182	2	fixation
426.993	15.069	182	2	fixation
