onset	duration	subject	run	stimuli
40.344	5.002	182	1	EmoLookNeg
53.566	5.002	182	1	EmoLookNeg
152.621	5.002	182	1	EmoLookNeg
189.586	5.002	182	1	EmoLookNeg
196.805	5.002	182	1	EmoLookNeg
210.877	5.002	182	1	EmoLookNeg
264.331	5.002	182	1	EmoLookNeg
270.634	5.002	182	1	EmoLookNeg
283.906	5.002	182	1	EmoLookNeg
290.842	5.002	182	1	EmoLookNeg
345.546	5.002	182	1	EmoLookNeg
351.899	5.002	182	1	EmoLookNeg
366.588	5.002	182	1	EmoLookNeg
389.714	5.002	182	1	EmoLookNeg
404.203	5.002	182	1	EmoLookNeg
46.713	5.002	182	1	EmoLookPos
61.035	5.002	182	1	EmoLookPos
68.088	5.002	182	1	EmoLookPos
159.174	5.002	182	1	EmoLookPos
166.543	5.002	182	1	EmoLookPos
173.596	5.002	182	1	EmoLookPos
179.982	5.002	182	1	EmoLookPos
204.575	5.002	182	1	EmoLookPos
218.363	5.002	182	1	EmoLookPos
277.67	5.002	182	1	EmoLookPos
339.027	5.002	182	1	EmoLookPos
359.568	5.002	182	1	EmoLookPos
376.992	5.002	182	1	EmoLookPos
383.261	5.002	182	1	EmoLookPos
397.016	5.002	182	1	EmoLookPos
3.046	5.002	182	1	EmoLabelNeg
16.268	5.002	182	1	EmoLabelNeg
91.564	5.002	182	1	EmoLabelNeg
105.003	5.002	182	1	EmoLabelNeg
121.826	5.002	182	1	EmoLabelNeg
129.595	5.002	182	1	EmoLabelNeg
143.384	5.002	182	1	EmoLabelNeg
227.6	5.002	182	1	EmoLabelNeg
240.939	5.002	182	1	EmoLabelNeg
254.111	5.002	182	1	EmoLabelNeg
307.582	5.002	182	1	EmoLabelNeg
313.934	5.002	182	1	EmoLabelNeg
321.604	5.002	182	1	EmoLabelNeg
414.773	5.002	182	1	EmoLabelNeg
421.042	5.002	182	1	EmoLabelNeg
9.415	5.002	182	1	EmoLabelPos
23.738	5.002	182	1	EmoLabelPos
30.79	5.002	182	1	EmoLabelPos
77.642	5.002	182	1	EmoLabelPos
84.194	5.002	182	1	EmoLabelPos
98.617	5.002	182	1	EmoLabelPos
114.606	5.002	182	1	EmoLabelPos
135.898	5.002	182	1	EmoLabelPos
233.903	5.002	182	1	EmoLabelPos
247.175	5.002	182	1	EmoLabelPos
301.062	5.002	182	1	EmoLabelPos
328.623	5.002	182	1	EmoLabelPos
427.495	5.002	182	1	EmoLabelPos
434.798	5.002	182	1	EmoLabelPos
441.984	5.002	182	1	EmoLabelPos
