onset	duration	subject	run	stimuli
43.599	5.002	193	1	EmoLookNeg
58.789	5.002	193	1	EmoLookNeg
158.127	5.002	193	1	EmoLookNeg
194.658	5.002	193	1	EmoLookNeg
201.744	5.002	193	1	EmoLookNeg
215.1	5.002	193	1	EmoLookNeg
270.488	5.002	193	1	EmoLookNeg
278.191	5.002	193	1	EmoLookNeg
292.03	5.002	193	1	EmoLookNeg
298.315	5.002	193	1	EmoLookNeg
352.87	5.002	193	1	EmoLookNeg
359.723	5.002	193	1	EmoLookNeg
372.928	5.002	193	1	EmoLookNeg
395.585	5.004	193	1	EmoLookNeg
409.375	5.002	193	1	EmoLookNeg
50.952	5.002	193	1	EmoLookPos
65.525	5.002	193	1	EmoLookPos
73.344	5.002	193	1	EmoLookPos
164.997	5.002	193	1	EmoLookPos
171.199	5.002	193	1	EmoLookPos
177.368	5.002	193	1	EmoLookPos
185.205	5.002	193	1	EmoLookPos
208.064	5.001	193	1	EmoLookPos
222.052	5.002	193	1	EmoLookPos
284.877	5.002	193	1	EmoLookPos
345.634	5.002	193	1	EmoLookPos
366.025	5.002	193	1	EmoLookPos
382.882	5.002	193	1	EmoLookPos
389.368	5.002	193	1	EmoLookPos
403.256	5.002	193	1	EmoLookPos
3.117	5.002	193	1	EmoLabelNeg
18.373	5.002	193	1	EmoLabelNeg
97.17	5.002	193	1	EmoLabelNeg
111.159	5.002	193	1	EmoLabelNeg
127.766	5.001	193	1	EmoLabelNeg
134.085	5.002	193	1	EmoLabelNeg
148.057	5.002	193	1	EmoLabelNeg
232.223	5.002	193	1	EmoLabelNeg
246.745	5.002	193	1	EmoLabelNeg
260.234	5.002	193	1	EmoLabelNeg
315.639	5.002	193	1	EmoLabelNeg
322.491	5.002	193	1	EmoLabelNeg
328.894	5.002	193	1	EmoLabelNeg
419.696	5.002	193	1	EmoLabelNeg
426.182	5.002	193	1	EmoLabelNeg
10.453	5.002	193	1	EmoLabelPos
25.075	5.002	193	1	EmoLabelPos
32.979	5.002	193	1	EmoLabelPos
83.965	5.002	193	1	EmoLabelPos
90.918	5.002	193	1	EmoLabelPos
103.389	5.002	193	1	EmoLabelPos
120.696	5.002	193	1	EmoLabelPos
141.087	5.002	193	1	EmoLabelPos
239.943	5.002	193	1	EmoLabelPos
253.948	5.002	193	1	EmoLabelPos
308.469	5.002	193	1	EmoLabelPos
335.797	5.002	193	1	EmoLabelPos
432.401	5.002	193	1	EmoLabelPos
440.037	5.002	193	1	EmoLabelPos
446.156	5.002	193	1	EmoLabelPos
