onset	duration	subject	run	stimuli
75.266	15.024	3128	2	InfOwnNeg
165.734	14.992	3128	2	InfOwnNeg
240.996	15.008	3128	2	InfOwnNeg
286.23	15.008	3128	2	InfOwnNeg
376.631	15.009	3128	2	InfOwnNeg
406.792	15.009	3128	2	InfOwnNeg
30.149	15.024	3128	2	InfOwnPos
60.243	15.008	3128	2	InfOwnPos
210.901	15.008	3128	2	InfOwnPos
256.068	15.008	3128	2	InfOwnPos
331.414	15.007	3128	2	InfOwnPos
361.575	14.992	3128	2	InfOwnPos
0.02	15.041	3128	2	InfOtherNeg
90.338	15.042	3128	2	InfOtherNeg
120.516	15.042	3128	2	InfOtherNeg
150.628	15.041	3128	2	InfOtherNeg
271.124	15.041	3128	2	InfOtherNeg
346.469	15.041	3128	2	InfOtherNeg
15.076	15.057	3128	2	InfOtherPos
105.427	15.042	3128	2	InfOtherPos
180.773	15.041	3128	2	InfOtherPos
316.308	15.041	3128	2	InfOtherPos
391.687	15.041	3128	2	InfOtherPos
436.871	15.04	3128	2	InfOtherPos
45.173	15.07	3128	2	fixation
135.558	15.07	3128	2	fixation
195.814	15.087	3128	2	fixation
225.909	15.087	3128	2	fixation
301.238	15.07	3128	2	fixation
421.801	15.07	3128	2	fixation
