onset	duration	subject	run	stimuli
40.669	5.002	3128	1	EmoLookNeg
53.39	5.002	3128	1	EmoLookNeg
154.362	5.002	3128	1	EmoLookNeg
193.377	5.002	3128	1	EmoLookNeg
199.546	5.002	3128	1	EmoLookNeg
213.184	5.002	3128	1	EmoLookNeg
269.539	5.002	3128	1	EmoLookNeg
276.942	5.002	3128	1	EmoLookNeg
290.414	5.002	3128	1	EmoLookNeg
298	5.002	3128	1	EmoLookNeg
351.704	5.002	3128	1	EmoLookNeg
357.956	5.002	3128	1	EmoLookNeg
372.512	5.002	3128	1	EmoLookNeg
397.788	5.002	3128	1	EmoLookNeg
411.977	5.002	3128	1	EmoLookNeg
46.971	5.002	3128	1	EmoLookPos
60.059	5.002	3128	1	EmoLookPos
67.879	5.002	3128	1	EmoLookPos
161.415	5.002	3128	1	EmoLookPos
168.901	5.002	3128	1	EmoLookPos
175.92	5.002	3128	1	EmoLookPos
183.79	5.002	3128	1	EmoLookPos
205.765	5.002	3128	1	EmoLookPos
219.937	5.002	3128	1	EmoLookPos
283.028	5.002	3128	1	EmoLookPos
345.535	5.002	3128	1	EmoLookPos
365.059	5.002	3128	1	EmoLookPos
382.833	5.001	3128	1	EmoLookPos
390.519	5.002	3128	1	EmoLookPos
404.407	5.002	3128	1	EmoLookPos
3.088	5.002	3128	1	EmoLabelNeg
15.909	5.002	3128	1	EmoLabelNeg
92.755	5.002	3128	1	EmoLabelNeg
107.628	5.001	3128	1	EmoLabelNeg
123.434	5.001	3128	1	EmoLabelNeg
129.653	5.002	3128	1	EmoLabelNeg
143.841	5.002	3128	1	EmoLabelNeg
230.541	5.002	3128	1	EmoLabelNeg
244.13	5.002	3128	1	EmoLabelNeg
259.135	5.002	3128	1	EmoLabelNeg
314.406	5.002	3128	1	EmoLabelNeg
320.659	5.002	3128	1	EmoLabelNeg
327.862	5.002	3128	1	EmoLabelNeg
421.481	5.002	3128	1	EmoLabelNeg
429.167	5.002	3128	1	EmoLabelNeg
9.39	5.002	3128	1	EmoLabelPos
22.562	5.002	3128	1	EmoLabelPos
30.465	5.002	3128	1	EmoLabelPos
78.116	5.002	3128	1	EmoLabelPos
85.236	5.002	3128	1	EmoLabelPos
99.825	5.001	3128	1	EmoLabelPos
117.281	5.002	3128	1	EmoLabelPos
137.039	5.002	3128	1	EmoLabelPos
237.961	5.002	3128	1	EmoLabelPos
251.549	5.002	3128	1	EmoLabelPos
308.304	5.002	3128	1	EmoLabelPos
335.314	5.002	3128	1	EmoLabelPos
436.436	5.002	3128	1	EmoLabelPos
443.039	5.002	3128	1	EmoLabelPos
450.608	5.002	3128	1	EmoLabelPos
