onset	duration	subject	run	stimuli
24.942	5.002	3142	2	EmoLookNeg
31.044	5.002	3142	2	EmoLookNeg
86.198	5.002	3142	2	EmoLookNeg
92.501	5.002	3142	2	EmoLookNeg
99.253	5.002	3142	2	EmoLookNeg
191.305	5.002	3142	2	EmoLookNeg
205.411	5.002	3142	2	EmoLookNeg
219.266	5.002	3142	2	EmoLookNeg
228.87	5.002	3142	2	EmoLookNeg
243.642	5.002	3142	2	EmoLookNeg
249.794	5.002	3142	2	EmoLookNeg
265.817	5.002	3142	2	EmoLookNeg
279.389	5.002	3142	2	EmoLookNeg
351.183	5.002	3142	2	EmoLookNeg
365.872	5.002	3142	2	EmoLookNeg
3.05	5.002	3142	2	EmoLookPos
9.769	5.002	3142	2	EmoLookPos
17.455	5.002	3142	2	EmoLookPos
80.113	5.002	3142	2	EmoLookPos
106.606	5.002	3142	2	EmoLookPos
199.042	5.002	3142	2	EmoLookPos
212.163	5.002	3142	2	EmoLookPos
236.056	5.002	3142	2	EmoLookPos
255.963	5.002	3142	2	EmoLookPos
273.037	5.001	3142	2	EmoLookPos
285.575	5.002	3142	2	EmoLookPos
291.977	5.002	3142	2	EmoLookPos
338.412	5.001	3142	2	EmoLookPos
344.981	5.002	3142	2	EmoLookPos
358.152	5.002	3142	2	EmoLookPos
41.581	5.002	3142	2	EmoLabelNeg
55.987	5.002	3142	2	EmoLabelNeg
116.927	5.002	3142	2	EmoLabelNeg
129.315	5.002	3142	2	EmoLabelNeg
136.067	5.002	3142	2	EmoLabelNeg
153.741	5.002	3142	2	EmoLabelNeg
161.477	5.002	3142	2	EmoLabelNeg
174.599	5.002	3142	2	EmoLabelNeg
181.702	5.002	3142	2	EmoLabelNeg
308.65	5.002	3142	2	EmoLabelNeg
322.389	5.002	3142	2	EmoLabelNeg
328.558	5.002	3142	2	EmoLabelNeg
401.469	5.002	3142	2	EmoLabelNeg
423.727	5.002	3142	2	EmoLabelNeg
438.416	5.002	3142	2	EmoLabelNeg
48.301	5.002	3142	2	EmoLabelPos
63.473	5.002	3142	2	EmoLabelPos
69.575	5.002	3142	2	EmoLabelPos
123.013	5.001	3142	2	EmoLabelPos
143.42	5.002	3142	2	EmoLabelPos
167.846	5.002	3142	2	EmoLabelPos
301.464	5.002	3142	2	EmoLabelPos
316.236	5.002	3142	2	EmoLabelPos
375.309	5.002	3142	2	EmoLabelPos
382.528	5.002	3142	2	EmoLabelPos
388.881	5.002	3142	2	EmoLabelPos
395.067	5.001	3142	2	EmoLabelPos
410.956	5.002	3142	2	EmoLabelPos
417.525	5.002	3142	2	EmoLabelPos
430.697	5.002	3142	2	EmoLabelPos
