onset	duration	subject	run	stimuli
39.755	5.001	3081	1	EmoLookNeg
53.293	5.002	3081	1	EmoLookNeg
150.08	5.002	3081	1	EmoLookNeg
187.378	5.002	3081	1	EmoLookNeg
194.164	5.002	3081	1	EmoLookNeg
207.069	5.002	3081	1	EmoLookNeg
261.973	5.002	3081	1	EmoLookNeg
268.793	5.002	3081	1	EmoLookNeg
283.398	5.002	3081	1	EmoLookNeg
291.218	5.002	3081	1	EmoLookNeg
346.606	5.002	3081	1	EmoLookNeg
353.975	5.002	3081	1	EmoLookNeg
369.315	5.002	3081	1	EmoLookNeg
392.724	5.002	3081	1	EmoLookNeg
405.679	5.002	3081	1	EmoLookNeg
46.857	5.002	3081	1	EmoLookPos
59.529	5.002	3081	1	EmoLookPos
66.365	5.002	3081	1	EmoLookPos
156.883	5.002	3081	1	EmoLookPos
164.219	5.002	3081	1	EmoLookPos
170.705	5.002	3081	1	EmoLookPos
177.858	5.002	3081	1	EmoLookPos
200.316	5.002	3081	1	EmoLookPos
213.155	5.002	3081	1	EmoLookPos
275.962	5.002	3081	1	EmoLookPos
340.103	5.002	3081	1	EmoLookPos
361.478	5.002	3081	1	EmoLookPos
379.752	5.002	3081	1	EmoLookPos
386.121	5.002	3081	1	EmoLookPos
399.026	5.002	3081	1	EmoLookPos
3.04	5.002	3081	1	EmoLabelNeg
16.579	5.002	3081	1	EmoLabelNeg
90.707	5.002	3081	1	EmoLabelNeg
104.413	5.002	3081	1	EmoLabelNeg
121.102	5.002	3081	1	EmoLabelNeg
127.255	5.002	3081	1	EmoLabelNeg
140.193	5.002	3081	1	EmoLabelNeg
223.142	5.002	3081	1	EmoLabelNeg
237.297	5.002	3081	1	EmoLabelNeg
252.586	5.002	3081	1	EmoLabelNeg
306.957	5.002	3081	1	EmoLabelNeg
314.327	5.002	3081	1	EmoLabelNeg
321.93	5.002	3081	1	EmoLabelNeg
415.449	5.002	3081	1	EmoLabelNeg
421.818	5.002	3081	1	EmoLabelNeg
10.143	5.002	3081	1	EmoLabelPos
22.815	5.002	3081	1	EmoLabelPos
29.651	5.002	3081	1	EmoLabelPos
76.469	5.002	3081	1	EmoLabelPos
83.321	5.002	3081	1	EmoLabelPos
97.26	5.002	3081	1	EmoLabelPos
113.983	5.002	3081	1	EmoLabelPos
134.057	5.002	3081	1	EmoLabelPos
230.028	5.002	3081	1	EmoLabelPos
244.767	5.002	3081	1	EmoLabelPos
300.505	5.002	3081	1	EmoLabelPos
329.766	5.002	3081	1	EmoLabelPos
428.421	5.002	3081	1	EmoLabelPos
434.707	5.001	3081	1	EmoLabelPos
441.359	5.002	3081	1	EmoLabelPos
