onset	duration	subject	run	stimuli
75.328	15.045	3081	2	InfOwnNeg
165.963	15.028	3081	2	InfOwnNeg
241.309	15.024	3081	2	InfOwnNeg
286.61	15.028	3081	2	InfOwnNeg
377.194	15.028	3081	2	InfOwnNeg
407.423	15.024	3081	2	InfOwnNeg
30.161	15.041	3081	2	InfOwnPos
60.289	15.024	3081	2	InfOwnPos
211.197	15.025	3081	2	InfOwnPos
256.398	15.025	3081	2	InfOwnPos
331.86	15.025	3081	2	InfOwnPos
362.072	15.025	3081	2	InfOwnPos
0.033	15.04	3081	2	InfOtherNeg
90.517	15.045	3081	2	InfOtherNeg
120.729	15.044	3081	2	InfOtherNeg
150.841	15.044	3081	2	InfOtherNeg
271.504	15.041	3081	2	InfOtherNeg
346.966	15.041	3081	2	InfOtherNeg
15.088	15.058	3081	2	InfOtherPos
105.64	15.043	3081	2	InfOtherPos
181.036	15.042	3081	2	InfOtherPos
316.721	15.044	3081	2	InfOtherPos
392.3	15.044	3081	2	InfOtherPos
437.518	14.482	3081	2	InfOtherPos
45.202	15.087	3081	2	fixation
135.773	15.068	3081	2	fixation
196.078	15.119	3081	2	fixation
226.222	15.087	3081	2	fixation
301.638	15.083	3081	2	fixation
422.447	15.071	3081	2	fixation
