onset	duration	subject	run	stimuli
76.026	15.277	3217	2	InfOwnNeg
166.878	15.411	3217	2	InfOwnNeg
242.791	15.027	3217	2	InfOwnNeg
288.276	15.127	3217	2	InfOwnNeg
379.311	15.544	3217	2	InfOwnNeg
410.09	15.027	3217	2	InfOwnNeg
30.158	15.093	3217	2	InfOwnPos
60.386	15.61	3217	2	InfOwnPos
212.546	15.094	3217	2	InfOwnPos
257.931	15.093	3217	2	InfOwnPos
333.66	15.077	3217	2	InfOwnPos
363.972	15.194	3217	2	InfOwnPos
0.029	15.042	3217	2	InfOtherNeg
91.365	15.042	3217	2	InfOtherNeg
121.56	15.043	3217	2	InfOtherNeg
151.689	15.042	3217	2	InfOtherNeg
273.103	15.042	3217	2	InfOtherNeg
348.8	15.042	3217	2	InfOtherNeg
15.085	15.058	3217	2	InfOtherPos
106.471	15.042	3217	2	InfOtherPos
182.368	15.024	3217	2	InfOtherPos
318.488	15.042	3217	2	InfOtherPos
394.934	15.043	3217	2	InfOtherPos
440.202	15.042	3217	2	InfOtherPos
45.251	15.135	3217	2	fixation
136.603	15.086	3217	2	fixation
197.392	15.154	3217	2	fixation
227.64	15.151	3217	2	fixation
303.403	15.085	3217	2	fixation
425.117	15.085	3217	2	fixation
455.244	6.756	3217	2	fixation
