onset	duration	subject	run	stimuli
76.559	18.346	196	2	InfOwnNeg
170.463	18.228	196	2	InfOwnNeg
249.093	15.026	196	2	InfOwnNeg
294.478	18.178	196	2	InfOwnNeg
389.598	17.945	196	2	InfOwnNeg
422.761	15.026	196	2	InfOwnNeg
30.158	15.026	196	2	InfOwnPos
60.303	16.243	196	2	InfOwnPos
218.948	14.993	196	2	InfOwnPos
264.249	14.994	196	2	InfOwnPos
342.913	15.027	196	2	InfOwnPos
373.158	16.311	196	2	InfOwnPos
0.03	15.04	196	2	InfOtherNeg
94.967	15.04	196	2	InfOtherNeg
125.162	15.041	196	2	InfOtherNeg
155.29	15.042	196	2	InfOtherNeg
279.305	15.041	196	2	InfOtherNeg
358.002	15.043	196	2	InfOtherNeg
15.085	15.058	196	2	InfOtherPos
110.072	15.043	196	2	InfOtherPos
188.753	15.041	196	2	InfOtherPos
327.741	15.041	196	2	InfOtherPos
407.605	15.041	196	2	InfOtherPos
452.873	9.127	196	2	InfOtherPos
45.184	15.119	196	2	fixation
140.203	15.087	196	2	fixation
203.794	15.154	196	2	fixation
233.941	15.152	196	2	fixation
312.656	15.085	196	2	fixation
437.787	15.086	196	2	fixation
