onset	duration	subject	run	stimuli
39.658	5.002	196	1	EmoLookNeg
52.313	5.002	196	1	EmoLookNeg
152.018	5.002	196	1	EmoLookNeg
189.533	5.002	196	1	EmoLookNeg
196.302	5.002	196	1	EmoLookNeg
209.257	5.002	196	1	EmoLookNeg
265.313	5.002	196	1	EmoLookNeg
271.815	5.002	196	1	EmoLookNeg
285.654	5.002	196	1	EmoLookNeg
292.59	5.002	196	1	EmoLookNeg
345.677	5.002	196	1	EmoLookNeg
352.63	5.002	196	1	EmoLookNeg
365.935	5.002	196	1	EmoLookNeg
391.845	5.002	196	1	EmoLookNeg
404.4	5.002	196	1	EmoLookNeg
45.96	5.002	196	1	EmoLookPos
59.833	5.002	196	1	EmoLookPos
66.885	5.002	196	1	EmoLookPos
159.221	5.002	196	1	EmoLookPos
166.924	5.002	196	1	EmoLookPos
173.06	5.002	196	1	EmoLookPos
179.312	5.002	196	1	EmoLookPos
202.755	5.002	196	1	EmoLookPos
217.027	5.002	196	1	EmoLookPos
278.118	5.002	196	1	EmoLookPos
339.408	5.002	196	1	EmoLookPos
359.783	5.002	196	1	EmoLookPos
376.523	5.002	196	1	EmoLookPos
384.242	5.002	196	1	EmoLookPos
398.098	5.002	196	1	EmoLookPos
3.11	5.002	196	1	EmoLabelNeg
15.849	5.002	196	1	EmoLabelNeg
91.095	5.002	196	1	EmoLabelNeg
103.416	5.002	196	1	EmoLabelNeg
120.456	5.002	196	1	EmoLabelNeg
126.909	5.002	196	1	EmoLabelNeg
141.164	5.002	196	1	EmoLabelNeg
228.015	5.002	196	1	EmoLabelNeg
240.936	5.002	196	1	EmoLabelNeg
255.442	5.002	196	1	EmoLabelNeg
308.58	5.001	196	1	EmoLabelNeg
315.532	5.002	196	1	EmoLabelNeg
322.785	5.002	196	1	EmoLabelNeg
414.337	5.002	196	1	EmoLabelNeg
422.057	5.002	196	1	EmoLabelNeg
9.413	5.002	196	1	EmoLabelPos
23.352	5.002	196	1	EmoLabelPos
30.488	5.002	196	1	EmoLabelPos
76.106	5.002	196	1	EmoLabelPos
83.358	5.002	196	1	EmoLabelPos
97.247	5.002	196	1	EmoLabelPos
113.704	5.002	196	1	EmoLabelPos
133.378	5.002	196	1	EmoLabelPos
234.551	5.002	196	1	EmoLabelPos
248.506	5.002	196	1	EmoLabelPos
302.377	5.002	196	1	EmoLabelPos
328.937	5.002	196	1	EmoLabelPos
429.66	5.002	196	1	EmoLabelPos
435.879	5.002	196	1	EmoLabelPos
442.182	5.002	196	1	EmoLabelPos
