onset	duration	subject	run	stimuli
25.52	5.002	3091	2	EmoLookNeg
31.856	5.002	3091	2	EmoLookNeg
88.361	5.002	3091	2	EmoLookNeg
95.281	5.002	3091	2	EmoLookNeg
103.117	5.002	3091	2	EmoLookNeg
194.519	5.002	3091	2	EmoLookNeg
208.875	5.002	3091	2	EmoLookNeg
224.114	5.002	3091	2	EmoLookNeg
233.301	5.002	3091	2	EmoLookNeg
246.923	5.002	3091	2	EmoLookNeg
254.009	5.002	3091	2	EmoLookNeg
271.616	5.002	3091	2	EmoLookNeg
285.221	5.002	3091	2	EmoLookNeg
360.834	5.002	3091	2	EmoLookNeg
373.989	5.002	3091	2	EmoLookNeg
3.045	5.002	3091	2	EmoLookPos
10.264	5.002	3091	2	EmoLookPos
18.001	5.002	3091	2	EmoLookPos
81.775	5.002	3091	2	EmoLookPos
109.419	5.002	3091	2	EmoLookPos
201.989	5.002	3091	2	EmoLookPos
216.311	5.002	3091	2	EmoLookPos
240.404	5.002	3091	2	EmoLookPos
261.795	5.002	3091	2	EmoLookPos
278.552	5.002	3091	2	EmoLookPos
291.84	5.002	3091	2	EmoLookPos
298.676	5.002	3091	2	EmoLookPos
346.645	5.002	3091	2	EmoLookPos
353.514	5.002	3091	2	EmoLookPos
367.786	5.002	3091	2	EmoLookPos
42.41	5.002	3091	2	EmoLabelNeg
57.366	5.002	3091	2	EmoLabelNeg
118.756	5.002	3091	2	EmoLabelNeg
132.262	5.002	3091	2	EmoLabelNeg
140.098	5.002	3091	2	EmoLabelNeg
155.737	5.002	3091	2	EmoLabelNeg
163.207	5.002	3091	2	EmoLabelNeg
177.529	5.002	3091	2	EmoLabelNeg
185.332	5.002	3091	2	EmoLabelNeg
315.433	5.002	3091	2	EmoLabelNeg
329.038	5.002	3091	2	EmoLabelNeg
336.824	5.002	3091	2	EmoLabelNeg
410.553	5.002	3091	2	EmoLabelNeg
434.396	5.002	3091	2	EmoLabelNeg
447.551	5.002	3091	2	EmoLabelNeg
49.629	5.002	3091	2	EmoLabelPos
64.885	5.002	3091	2	EmoLabelPos
71.221	5.002	3091	2	EmoLabelPos
125.342	5.002	3091	2	EmoLabelPos
146.4	5.002	3091	2	EmoLabelPos
170.093	5.002	3091	2	EmoLabelPos
308.33	5.002	3091	2	EmoLabelPos
321.952	5.002	3091	2	EmoLabelPos
383.492	5.002	3091	2	EmoLabelPos
390.428	5.002	3091	2	EmoLabelPos
397.098	5.002	3091	2	EmoLabelPos
403.717	5.002	3091	2	EmoLabelPos
420.207	5.002	3091	2	EmoLabelPos
427.076	5.002	3091	2	EmoLabelPos
441.348	5.002	3091	2	EmoLabelPos
