onset	duration	subject	run	stimuli
39.052	5.002	3148	1	EmoLookNeg
52.824	5.002	3148	1	EmoLookNeg
148.295	5.002	3148	1	EmoLookNeg
186.293	5.002	3148	1	EmoLookNeg
192.629	5.002	3148	1	EmoLookNeg
205.15	5.002	3148	1	EmoLookNeg
260.072	5.002	3148	1	EmoLookNeg
267.608	5.002	3148	1	EmoLookNeg
281.53	5.002	3148	1	EmoLookNeg
288.916	5.002	3148	1	EmoLookNeg
346.156	5.002	3148	1	EmoLookNeg
353.825	5.002	3148	1	EmoLookNeg
368.031	5.002	3148	1	EmoLookNeg
393.241	5.002	3148	1	EmoLookNeg
406.913	5.002	3148	1	EmoLookNeg
46.038	5.002	3148	1	EmoLookPos
59.11	5.002	3148	1	EmoLookPos
65.629	5.002	3148	1	EmoLookPos
154.781	5.002	3148	1	EmoLookPos
162.117	5.002	3148	1	EmoLookPos
169.27	5.002	3148	1	EmoLookPos
176.456	5.002	3148	1	EmoLookPos
198.898	5.002	3148	1	EmoLookPos
211.803	5.002	3148	1	EmoLookPos
274.227	5.002	3148	1	EmoLookPos
338.519	5.002	3148	1	EmoLookPos
360.411	5.002	3148	1	EmoLookPos
378.818	5.002	3148	1	EmoLookPos
386.038	5.002	3148	1	EmoLookPos
400.544	5.002	3148	1	EmoLookPos
3.104	5.002	3148	1	EmoLabelNeg
16.876	5.002	3148	1	EmoLabelNeg
88.805	5.002	3148	1	EmoLabelNeg
103.127	5.002	3148	1	EmoLabelNeg
119.383	5.002	3148	1	EmoLabelNeg
125.652	5.002	3148	1	EmoLabelNeg
138.541	5.002	3148	1	EmoLabelNeg
221.657	5.002	3148	1	EmoLabelNeg
235.929	5.002	3148	1	EmoLabelNeg
250.635	5.002	3148	1	EmoLabelNeg
305.84	5.002	3148	1	EmoLabelNeg
313.509	5.002	3148	1	EmoLabelNeg
320.195	5.002	3148	1	EmoLabelNeg
415.983	5.002	3148	1	EmoLabelNeg
423.202	5.002	3148	1	EmoLabelNeg
10.09	5.002	3148	1	EmoLabelPos
23.212	5.002	3148	1	EmoLabelPos
29.831	5.002	3148	1	EmoLabelPos
74.966	5.002	3148	1	EmoLabelPos
81.452	5.002	3148	1	EmoLabelPos
95.991	5.002	3148	1	EmoLabelPos
113.047	5.002	3148	1	EmoLabelPos
131.838	5.002	3148	1	EmoLabelPos
229.21	5.002	3148	1	EmoLabelPos
243.249	5.002	3148	1	EmoLabelPos
298.253	5.002	3148	1	EmoLabelPos
327.815	5.002	3148	1	EmoLabelPos
430.405	5.002	3148	1	EmoLabelPos
437.675	5.002	3148	1	EmoLabelPos
444.044	5.002	3148	1	EmoLabelPos
