onset	duration	subject	run	stimuli
23.906	5.002	3227	2	EmoLookNeg
30.809	5.002	3227	2	EmoLookNeg
86.698	5.002	3227	2	EmoLookNeg
94.167	5.002	3227	2	EmoLookNeg
101.487	5.002	3227	2	EmoLookNeg
191.922	5.002	3227	2	EmoLookNeg
204.661	5.002	3227	2	EmoLookNeg
217.316	5.002	3227	2	EmoLookNeg
226.436	5.002	3227	2	EmoLookNeg
238.807	5.002	3227	2	EmoLookNeg
246.394	5.002	3227	2	EmoLookNeg
262.267	5.002	3227	2	EmoLookNeg
275.789	5.002	3227	2	EmoLookNeg
349.334	5.002	3227	2	EmoLookNeg
363.556	5.002	3227	2	EmoLookNeg
3.048	5.002	3227	2	EmoLookPos
10.001	5.002	3227	2	EmoLookPos
17.621	5.002	3227	2	EmoLookPos
80.178	5.002	3227	2	EmoLookPos
108.123	5.002	3227	2	EmoLookPos
198.175	5.002	3227	2	EmoLookPos
210.713	5.002	3227	2	EmoLookPos
232.505	5.002	3227	2	EmoLookPos
252.58	5.002	3227	2	EmoLookPos
269.053	5.002	3227	2	EmoLookPos
282.608	5.002	3227	2	EmoLookPos
290.444	5.002	3227	2	EmoLookPos
335.462	5.002	3227	2	EmoLookPos
343.032	5.002	3227	2	EmoLookPos
356.054	5.002	3227	2	EmoLookPos
41.613	5.002	3227	2	EmoLabelNeg
56.186	5.002	3227	2	EmoLabelNeg
118.794	5.002	3227	2	EmoLabelNeg
132.782	5.002	3227	2	EmoLabelNeg
140.102	5.002	3227	2	EmoLabelNeg
157.409	5.002	3227	2	EmoLabelNeg
163.661	5.002	3227	2	EmoLabelNeg
176.2	5.002	3227	2	EmoLabelNeg
182.802	5.002	3227	2	EmoLabelNeg
305.7	5.002	3227	2	EmoLabelNeg
319.589	5.002	3227	2	EmoLabelNeg
325.775	5.002	3227	2	EmoLabelNeg
401.788	5.002	3227	2	EmoLabelNeg
424.847	5.002	3227	2	EmoLabelNeg
439.069	5.002	3227	2	EmoLabelNeg
48.566	5.002	3227	2	EmoLabelPos
62.472	5.002	3227	2	EmoLabelPos
69.374	5.002	3227	2	EmoLabelPos
125.313	5.002	3227	2	EmoLabelPos
146.738	5.002	3227	2	EmoLabelPos
170.147	5.002	3227	2	EmoLabelPos
299.631	5.002	3227	2	EmoLabelPos
312.003	5.002	3227	2	EmoLabelPos
373.61	5.002	3227	2	EmoLabelPos
380.396	5.002	3227	2	EmoLabelPos
387.132	5.002	3227	2	EmoLabelPos
393.952	5.002	3227	2	EmoLabelPos
410.975	5.002	3227	2	EmoLabelPos
418.545	5.002	3227	2	EmoLabelPos
431.567	5.002	3227	2	EmoLabelPos
