onset	duration	subject	run	stimuli
40.711	5.015	185	1	EmoLookNeg
53.616	5.015	185	1	EmoLookNeg
154.016	5.015	185	1	EmoLookNeg
192.749	5.015	185	1	EmoLookNeg
199.335	5.015	185	1	EmoLookNeg
213.828	5.015	185	1	EmoLookNeg
266.368	5.015	185	1	EmoLookNeg
272.453	5.015	185	1	EmoLookNeg
286.144	5.015	185	1	EmoLookNeg
292.613	5.015	185	1	EmoLookNeg
348.631	5.015	185	1	EmoLookNeg
356.304	5.015	185	1	EmoLookNeg
370.195	5.015	185	1	EmoLookNeg
394.417	5.015	185	1	EmoLookNeg
407.69	5.015	185	1	EmoLookNeg
47.481	5.015	185	1	EmoLookPos
61.189	5.015	185	1	EmoLookPos
67.541	5.015	185	1	EmoLookPos
160.887	5.015	185	1	EmoLookPos
168.192	5.015	185	1	EmoLookPos
175.012	5.015	185	1	EmoLookPos
182.785	5.015	185	1	EmoLookPos
206.774	5.015	185	1	EmoLookPos
220.498	5.015	185	1	EmoLookPos
279.976	5.015	185	1	EmoLookPos
341.576	5.015	185	1	EmoLookPos
363.458	5.015	185	1	EmoLookPos
380.275	5.015	185	1	EmoLookPos
387.513	5.015	185	1	EmoLookPos
401.204	5.015	185	1	EmoLookPos
3.099	5.015	185	1	EmoLabelNeg
16.255	5.015	185	1	EmoLabelNeg
92.265	5.015	185	1	EmoLabelNeg
106.859	5.015	185	1	EmoLabelNeg
123.458	5.015	185	1	EmoLabelNeg
130.897	5.015	185	1	EmoLabelNeg
144.555	5.015	185	1	EmoLabelNeg
229.96	5.015	185	1	EmoLabelNeg
243.567	5.015	185	1	EmoLabelNeg
256.138	5.015	185	1	EmoLabelNeg
309.848	5.015	185	1	EmoLabelNeg
317.521	5.015	185	1	EmoLabelNeg
324.759	5.015	185	1	EmoLabelNeg
417.603	5.015	185	1	EmoLabelNeg
424.841	5.015	185	1	EmoLabelNeg
10.02	5.015	185	1	EmoLabelPos
23.878	5.015	185	1	EmoLabelPos
30.23	5.015	185	1	EmoLabelPos
78.023	5.015	185	1	EmoLabelPos
84.96	5.015	185	1	EmoLabelPos
99.086	5.015	185	1	EmoLabelPos
116.822	5.015	185	1	EmoLabelPos
137.885	5.015	185	1	EmoLabelPos
236.044	5.015	185	1	EmoLabelPos
249.668	5.015	185	1	EmoLabelPos
302.844	5.015	185	1	EmoLabelPos
331.496	5.015	185	1	EmoLabelPos
431.745	5.015	185	1	EmoLabelPos
438.532	5.015	185	1	EmoLabelPos
444.935	5.015	185	1	EmoLabelPos
