onset	duration	subject	run	stimuli
23.927	5.002	182	2	EmoLookNeg
30.647	5.002	182	2	EmoLookNeg
86.452	5.002	182	2	EmoLookNeg
94.138	5.002	182	2	EmoLookNeg
101.874	5.002	182	2	EmoLookNeg
193.027	5.002	182	2	EmoLookNeg
206.649	5.001	182	2	EmoLookNeg
220.07	5.002	182	2	EmoLookNeg
229.357	5.002	182	2	EmoLookNeg
244.013	5.002	182	2	EmoLookNeg
250.199	5.002	182	2	EmoLookNeg
265.672	5.002	182	2	EmoLookNeg
279.377	5.002	182	2	EmoLookNeg
351.655	5.002	182	2	EmoLookNeg
365.727	5.002	182	2	EmoLookNeg
3.036	5.002	182	2	EmoLookPos
10.105	5.002	182	2	EmoLookPos
17.808	5.002	182	2	EmoLookPos
79.366	5.002	182	2	EmoLookPos
108.627	5.002	182	2	EmoLookPos
199.696	5.002	182	2	EmoLookPos
213.868	5.002	182	2	EmoLookPos
236.41	5.002	182	2	EmoLookPos
256.501	5.002	182	2	EmoLookPos
272.974	5.002	182	2	EmoLookPos
285.929	5.002	182	2	EmoLookPos
292.765	5.002	182	2	EmoLookPos
338.25	5.002	182	2	EmoLookPos
345.153	5.002	182	2	EmoLookPos
358.074	5.002	182	2	EmoLookPos
41.201	5.002	182	2	EmoLabelNeg
55.973	5.002	182	2	EmoLabelNeg
118.031	5.002	182	2	EmoLabelNeg
132.803	5.002	182	2	EmoLabelNeg
140.539	5.002	182	2	EmoLabelNeg
156.696	5.002	182	2	EmoLabelNeg
163.365	5.002	182	2	EmoLabelNeg
177.537	5.002	182	2	EmoLabelNeg
183.74	5.002	182	2	EmoLabelNeg
308.988	5.002	182	2	EmoLabelNeg
322.777	5.002	182	2	EmoLabelNeg
329.08	5.002	182	2	EmoLabelNeg
402.992	5.002	182	2	EmoLabelNeg
425.567	5.002	182	2	EmoLabelNeg
439.639	5.002	182	2	EmoLabelNeg
48.27	5.002	182	2	EmoLabelPos
62.092	5.002	182	2	EmoLabelPos
68.811	5.002	182	2	EmoLabelPos
125.117	5.002	182	2	EmoLabelPos
147.292	5.002	182	2	EmoLabelPos
170.318	5.002	182	2	EmoLabelPos
301.936	5.002	182	2	EmoLabelPos
316.591	5.002	182	2	EmoLabelPos
375.898	5.002	182	2	EmoLabelPos
383.201	5.002	182	2	EmoLabelPos
389.603	5.002	182	2	EmoLabelPos
396.156	5.002	182	2	EmoLabelPos
412.162	5.002	182	2	EmoLabelPos
419.065	5.002	182	2	EmoLabelPos
431.986	5.002	182	2	EmoLabelPos
