onset	duration	subject	run	stimuli
40.545	5.002	3217	1	EmoLookNeg
54.834	5.002	3217	1	EmoLookNeg
154.573	5.002	3217	1	EmoLookNeg
192.755	5.002	3217	1	EmoLookNeg
200.041	5.002	3217	1	EmoLookNeg
213.28	5.002	3217	1	EmoLookNeg
268.218	5.002	3217	1	EmoLookNeg
275.387	5.002	3217	1	EmoLookNeg
288.509	5.002	3217	1	EmoLookNeg
295.528	5.002	3217	1	EmoLookNeg
349.966	5.002	3217	1	EmoLookNeg
356.752	5.002	3217	1	EmoLookNeg
369.574	5.002	3217	1	EmoLookNeg
394.701	5.002	3217	1	EmoLookNeg
409.073	5.002	3217	1	EmoLookNeg
48.348	5.002	3217	1	EmoLookPos
61.337	5.002	3217	1	EmoLookPos
68.256	5.002	3217	1	EmoLookPos
162.076	5.002	3217	1	EmoLookPos
168.779	5.002	3217	1	EmoLookPos
174.998	5.002	3217	1	EmoLookPos
182.884	5.002	3217	1	EmoLookPos
207.044	5.002	3217	1	EmoLookPos
220.666	5.002	3217	1	EmoLookPos
282.19	5.002	3217	1	EmoLookPos
342.564	5.002	3217	1	EmoLookPos
363.272	5.002	3217	1	EmoLookPos
380.345	5.002	3217	1	EmoLookPos
387.298	5.002	3217	1	EmoLookPos
401.487	5.002	3217	1	EmoLookPos
3.114	5.002	3217	1	EmoLabelNeg
17.519	5.002	3217	1	EmoLabelNeg
92.132	5.002	3217	1	EmoLabelNeg
106.204	5.002	3217	1	EmoLabelNeg
123.428	5.002	3217	1	EmoLabelNeg
130.43	5.002	3217	1	EmoLabelNeg
144.052	5.002	3217	1	EmoLabelNeg
231.353	5.002	3217	1	EmoLabelNeg
245.459	5.002	3217	1	EmoLabelNeg
258.831	5.002	3217	1	EmoLabelNeg
312.185	5.002	3217	1	EmoLabelNeg
318.971	5.002	3217	1	EmoLabelNeg
325.607	5.002	3217	1	EmoLabelNeg
419.16	5.002	3217	1	EmoLabelNeg
426.113	5.002	3217	1	EmoLabelNeg
10.934	5.002	3217	1	EmoLabelPos
23.989	5.002	3217	1	EmoLabelPos
31.008	5.002	3217	1	EmoLabelPos
77.826	5.002	3217	1	EmoLabelPos
85.396	5.002	3217	1	EmoLabelPos
98.385	5.001	3217	1	EmoLabelPos
116.141	5.002	3217	1	EmoLabelPos
136.616	5.002	3217	1	EmoLabelPos
238.556	5.002	3217	1	EmoLabelPos
251.811	5.002	3217	1	EmoLabelPos
304.832	5.002	3217	1	EmoLabelPos
331.909	5.002	3217	1	EmoLabelPos
433.516	5.002	3217	1	EmoLabelPos
440.285	5.002	3217	1	EmoLabelPos
447.872	5.002	3217	1	EmoLabelPos
