onset	duration	subject	run	stimuli
43.521	5.002	192	1	EmoLookNeg
58.11	5.002	192	1	EmoLookNeg
161.951	5.002	192	1	EmoLookNeg
199.766	5.002	192	1	EmoLookNeg
207.369	5.002	192	1	EmoLookNeg
222.891	5.002	192	1	EmoLookNeg
278.313	5.002	192	1	EmoLookNeg
285.632	5.002	192	1	EmoLookNeg
299.521	5.002	192	1	EmoLookNeg
307.024	5.002	192	1	EmoLookNeg
361.112	5.002	192	1	EmoLookNeg
368.148	5.002	192	1	EmoLookNeg
382.27	5.002	192	1	EmoLookNeg
405.479	5.002	192	1	EmoLookNeg
419.685	5.002	192	1	EmoLookNeg
51.191	5.002	192	1	EmoLookPos
65.913	5.002	192	1	EmoLookPos
73.283	5.002	192	1	EmoLookPos
168.653	5.002	192	1	EmoLookPos
175.373	5.002	192	1	EmoLookPos
182.042	5.002	192	1	EmoLookPos
189.845	5.002	192	1	EmoLookPos
214.988	5.002	192	1	EmoLookPos
230.177	5.002	192	1	EmoLookPos
292.102	5.002	192	1	EmoLookPos
353.959	5.002	192	1	EmoLookPos
374.6	5.002	192	1	EmoLookPos
391.69	5.002	192	1	EmoLookPos
398.91	5.002	192	1	EmoLookPos
412.498	5.002	192	1	EmoLookPos
3.089	5.002	192	1	EmoLabelNeg
17.761	5.002	192	1	EmoLabelNeg
97.326	5.002	192	1	EmoLabelNeg
111.748	5.002	192	1	EmoLabelNeg
129.371	5.002	192	1	EmoLabelNeg
136.991	5.002	192	1	EmoLabelNeg
152.147	5.002	192	1	EmoLabelNeg
240.081	5.002	192	1	EmoLabelNeg
254.003	5.002	192	1	EmoLabelNeg
268.959	5.002	192	1	EmoLabelNeg
323.397	5.002	192	1	EmoLabelNeg
330.433	5.002	192	1	EmoLabelNeg
336.969	5.002	192	1	EmoLabelNeg
429.555	5.002	192	1	EmoLabelNeg
436.775	5.002	192	1	EmoLabelNeg
10.759	5.002	192	1	EmoLabelPos
25.531	5.002	192	1	EmoLabelPos
32.984	5.002	192	1	EmoLabelPos
83.837	5.002	192	1	EmoLabelPos
90.59	5.002	192	1	EmoLabelPos
104.028	5.002	192	1	EmoLabelPos
121.752	5.002	192	1	EmoLabelPos
144.844	5.002	192	1	EmoLabelPos
247.434	5.002	192	1	EmoLabelPos
261.456	5.002	192	1	EmoLabelPos
316.294	5.002	192	1	EmoLabelPos
344.639	5.002	192	1	EmoLabelPos
443.344	5.002	192	1	EmoLabelPos
450.33	5.002	192	1	EmoLabelPos
457.516	5.002	192	1	EmoLabelPos
