onset	duration	subject	run	stimuli
41.16	5.002	186	1	EmoLookNeg
55.015	5.002	186	1	EmoLookNeg
155.671	5.002	186	1	EmoLookNeg
192.236	5.001	186	1	EmoLookNeg
199.572	5.003	186	1	EmoLookNeg
214.377	5.002	186	1	EmoLookNeg
270.566	5.002	186	1	EmoLookNeg
276.969	5.002	186	1	EmoLookNeg
291.641	5.002	186	1	EmoLookNeg
299.394	5.002	186	1	EmoLookNeg
355.449	5.002	186	1	EmoLookNeg
363.169	5.002	186	1	EmoLookNeg
377.658	5.002	186	1	EmoLookNeg
402.034	5.002	186	1	EmoLookNeg
416.389	5.002	186	1	EmoLookNeg
47.312	5.002	186	1	EmoLookPos
61.551	5.002	186	1	EmoLookPos
68.154	5.002	186	1	EmoLookPos
162.107	5.002	186	1	EmoLookPos
168.393	5.002	186	1	EmoLookPos
175.196	5.002	186	1	EmoLookPos
182.565	5.002	186	1	EmoLookPos
207.175	5.002	186	1	EmoLookPos
221.38	5.002	186	1	EmoLookPos
284.588	5.002	186	1	EmoLookPos
347.913	5.002	186	1	EmoLookPos
369.921	5.002	186	1	EmoLookPos
387.345	5.002	186	1	EmoLookPos
394.698	5.002	186	1	EmoLookPos
409.704	5.002	186	1	EmoLookPos
3.112	5.002	186	1	EmoLabelNeg
17.067	5.002	186	1	EmoLabelNeg
91.863	5.002	186	1	EmoLabelNeg
105.969	5.002	186	1	EmoLabelNeg
123.025	5.002	186	1	EmoLabelNeg
130.628	5.002	186	1	EmoLabelNeg
144.85	5.002	186	1	EmoLabelNeg
232.284	5.002	186	1	EmoLabelNeg
246.44	5.002	186	1	EmoLabelNeg
261.279	5.002	186	1	EmoLabelNeg
315.95	5.002	186	1	EmoLabelNeg
323.67	5.002	186	1	EmoLabelNeg
330.589	5.002	186	1	EmoLabelNeg
427.227	5.002	186	1	EmoLabelNeg
434.58	5.002	186	1	EmoLabelNeg
9.264	5.002	186	1	EmoLabelPos
23.586	5.002	186	1	EmoLabelPos
30.272	5.002	186	1	EmoLabelPos
79.058	5.002	186	1	EmoLabelPos
85.544	5.002	186	1	EmoLabelPos
98.682	5.002	186	1	EmoLabelPos
115.706	5.002	186	1	EmoLabelPos
137.814	5.002	186	1	EmoLabelPos
238.72	5.002	186	1	EmoLabelPos
253.526	5.002	186	1	EmoLabelPos
308.481	5.002	186	1	EmoLabelPos
338.326	5.002	186	1	EmoLabelPos
441.916	5.002	186	1	EmoLabelPos
449.552	5.002	186	1	EmoLabelPos
456.238	5.002	186	1	EmoLabelPos
